,0,1,2
96,cera/Rittershausen_epistolae.xml,Nürnberg, 1769.
97,cera/Saumaise_epistolae.xml,Leiden, 1656.
98,cera/Scaliger_epistolae.xml,Leiden, 1627.
99,cera/Schelhammer_epistolae.xml,"Wismar, Stralsund", 1727.
100,cera/Scholz_epistolae.xml,Frankfurt am Main, 1598.
101,cera/Schroeder_epistolae.xml,Speyer, 1612.
102,cera/Schurzfleisch_epistolae_arcanae_1.xml,Halle, 1711.
103,cera/Schurzfleisch_epistolae_arcanae_2.xml,Halle, 1712.
104,cera/Schurzfleisch_epistolae_selectiores.xml,Wittenberg, 1729
105,cera/Seelen_epistolae.xml,Lübeck, 1729.
106,cera/Sidney_epistolae.xml,Frankfurt [Main], 1633.
107,cera/Sozzini_epistolae.xml,Raków, 1618.
108,cera/Styrzel_epistolae.xml,Nürnberg, 1768.
109,cera/Tollius_epistolae.xml,Amsterdam, 1700.
110,cera/Uffenbach_epistolae_1.xml,Ulmae Et Memmingae, 1753-1756.
111,cera/Uffenbach_epistolae_2.xml,Ulmae Et Memmingae, 1753-1756.
112,cera/Uffenbach_epistolae_3.xml,Ulmae Et Memmingae, 1753-1756.
113,cera/Uffenbach_epistolae_4.xml,Ulmae Et Memmingae, 1753-1756.
114,cera/Uffenbach_epistolae_5.xml,Ulmae Et Memmingae, 1753-1756.
115,cera/Vossius_epistolae_1.xml,Augsburg, 1691
116,cera/Vossius_epistolae_2.xml,Augsburg, 1691
117,cera/Weise_epistolae.xml,Bautzen, 1716.
118,cera/Witzel_epistolae.xml,Leipzig, 1537.
119,cera/Wowern_epistolae.xml,Hamburg, 1619.
120,cera/Wowern_syntagma.xml,Hamburg, 1619.
121,cera/Zeltner_historia_1.xml,Leipzig, 1744.
122,cera/Zeltner_historia_2.xml,Leipzig, 1744.
123,cera/Zeltner_historia_supplementa.xml,Leipzig, 1744.
124,historicapolitica/Agricola_oratio.xml,Leipzig, 1594.
125,historicapolitica/Ammirato_dissertationes.xml,Frankfurt [Main], 1609.
126,historicapolitica/Ammirato_dissertationes_elenchus.xml,Frankfurt [Main], 1609.
127,historicapolitica/Ammirato_dissertationes_index.xml,Helenopolis [i.e. Frankfurt/Main], 1609.
128,historicapolitica/Ammirato_dissertationes_index_locorum.xml,Helenopolis [i.e. Frankfurt/Main], 1609.
129,historicapolitica/Ammirato_dissertationes_praeliminaria.xml,Frankfurt [Main], 1609.
130,historicapolitica/arnisaeusdoctrina.xml,Amsterdam, 1651. 
131,historicapolitica/arnisaeusius.xml,Frankfurt /Oder, 1610.
132,historicapolitica/arnisaeusrespublica_index_capitum.xml,Argentorati , 1636.
133,historicapolitica/arnisaeusrespublica_index_rerum.xml,Argentorati , 1636.
134,historicapolitica/arnisaeussubiectio.xml,Francofurti [Frankfurt/Oder], 1612. 
135,historicapolitica/Aventinus_annales.xml,Leipzig, 1710
136,historicapolitica/balbuscoronatio_1.xml,Argentorati , 1624
137,historicapolitica/balbuscoronatio_front.xml,Argentorati , 1624
138,historicapolitica/becmannmeditationes_1.xml,- Francofurti ad Oderam , 1672.
139,historicapolitica/becmannmeditationes_2.xml,- Francofurti ad Oderam , 1672.
140,historicapolitica/becmannmeditationes_3.xml,- Francofurti ad Oderam , 1672.
141,historicapolitica/becmannmeditationes_front.xml,- Francofurti ad Oderam , 1672.
142,historicapolitica/Bernegger_observationes.xml,Straßburg, 4. April 1625.
143,historicapolitica/Bernegger_speculum.xml,Straßburg, 4. April 1625.
144,historicapolitica/besoldusdissertationes_1.xml,Tubingae, Typis Theodorici Werlini. Impensis Johannis Berneri
145,historicapolitica/besoldusdissertationes_2.xml,Tubingae, Typis Theodorici Werlini. Impensis Johannis Berneri
146,historicapolitica/besoldusdissertationes_3.xml,Tubingae, Typis Theodorici Werlini. Impensis Johannis Berneri
147,historicapolitica/besoldusdissertationes_4.xml,Tubingae, Typis Theodorici Werlini. Impensis Johannis Berneri
148,historicapolitica/besoldusdissertationes_5.xml,Tubingae, Typis Theodorici Werlini. Impensis Johannis Berneri
149,historicapolitica/besoldusdissertationes_6.xml,Tubingae, Typis Theodorici Werlini. Impensis Johannis Berneri
150,historicapolitica/besoldusdissertationes_front.xml,Tubingae, Typis Theodorici Werlini. Impensis Johannis Berneri
151,historicapolitica/besoldusnatura.xml,Tubingae, Typis Philiberti Brunnii
152,historicapolitica/besoldusopus10_1.xml,Argentorati , 1626.
153,historicapolitica/besoldusopus10_2.xml,Argentorati , 1626.
154,historicapolitica/besoldusopus10_3.xml,Argentorati , 1626.
155,historicapolitica/besoldusopus10_4.xml,Argentorati , 1626.
156,historicapolitica/besoldusopus10_5.xml,Argentorati , 1626.
157,historicapolitica/besoldusopus10_6.xml,Argentorati , 1626.
158,historicapolitica/besoldusopus10_front.xml,Argentorati , 1626.
159,historicapolitica/besoldusopus11.xml,Argentorati , 1626.
160,historicapolitica/besoldusopus12_1.xml,Argentorati , 1626.
161,historicapolitica/besoldusopus12_2.xml,Argentorati , 1626.
162,historicapolitica/besoldusopus12_3.xml,Argentorati , 1626.
